"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
"Not Elsewhere Classified","1566920","1563058","794","0","0","1226","0","0","0","0","0","0","0","0","1308","0","0","0","0","0","534",""
"Different County, Same State","31733","0","403","7762","4178","5363","2112","1766","3129","0","794","2130","0","375","0","0","0","0","668","0","3053",""
"Different State","30844","0","599","619","6204","6539","0","2828","646","0","721","1680","1479","2092","0","806","2841","0","2083","0","1707",""
"Same County","110819","0","7773","29943","9786","724","1480","2761","0","0","4516","16851","3285","14989","1708","2775","3504","0","2920","0","7804",""
" -> Total -> Total Wisconsin","5777554","5308600","32708","43244","49400","17779","0","11124","1933","0","29016","74690","3437","102761","0","63571","9437","0","3415","0","26439",""
"Not Elsewhere Classified","5317386","5308600","0","0","4176","0","0","0","0","0","0","0","0","0","0","0","4610","0","0","0","0",""
"Different County, Same State","65845","0","12897","0","8833","2272","0","0","0","0","0","16399","0","17356","0","3261","4827","0","0","0","0",""
"Different State","33760","0","0","0","8543","2898","0","0","0","0","0","0","3437","2566","0","10357","0","0","0","0","5959",""
"Same County","360563","0","19811","43244","27848","12609","0","11124","1933","0","29016","58291","0","82839","0","49953","0","0","3415","0","20480",""
" -> Total -> Total Wyoming","575131","481680","4525","7519","15422","15046","0","364","0","0","11477","16214","884","8650","660","1586","2961","0","2460","1650","4033",""
"Not Elsewhere Classified","482261","481680","0","0","0","581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","12653","0","371","776","1636","4695","0","364","0","0","344","2460","0","929","0","0","870","0","0","0","208",""
"Different State","27907","0","764","1685","9218","6745","0","0","0","0","334","299","0","3367","0","0","504","0","1529","1202","2260",""
"Same County","52310","0","3390","5058","4568","3025","0","0","0","0","10799","13455","884","4354","660","1586","1587","0","931","448","1565",""
