date,Metro,State,Net flow
2018/10/1,San Diego,CA,3120
2018/10/1,Austin,TX,2982
2018/10/1,Miami,FL,2893
2018/10/1,Dallas,TX,2824
2018/10/1,Boston,MA,2472
2018/10/1,Nashville,TN,2371
2018/10/1,Tampa,FL,2322
2018/10/1,Raleigh,NC,1981
2018/10/1,Charlotte,NC,1770
2018/10/1,San Antonio,TX,1367
2018/10/1,Bend,OR,1288
2018/10/1,Cape Coral,FL,1141
2018/10/1,Philadelphia,PA,1031
2018/10/1,Portland,ME,1024
2018/10/1,Boise City,ID,1018
2018/10/1,North Port,FL,976
2018/10/1,Jacksonville,FL,897
2018/10/1,Reno,NV,841
2018/10/1,Salt Lake City,UT,782
2018/10/1,San Luis Obispo,CA,723
2018/10/1,Urban Honolulu,HI,698
2018/10/1,Colorado Springs,CO,694
2018/10/1,Bakersfield,CA,660
2018/10/1,Albuquerque,NM,639
2018/10/1,Charleston,SC,557
2018/10/1,Tucson,AZ,531
2018/10/1,Bellingham,WA,526
2018/10/1,Pittsburgh,PA,482
2018/10/1,Minneapolis,MN,414
2018/10/1,Cleveland,OH,385
2018/10/1,Virginia Beach,VA,368
2018/10/1,New Orleans,LA,330
2018/10/1,Modesto,CA,310
2018/10/1,Fort Collins,CO,303
2018/10/1,Grand Rapids,MI,294
2018/10/1,Salinas,CA,234
2018/10/1,Fresno,CA,233
2018/10/1,Kansas City,MO,220
2018/10/1,Louisville,KY,220
2018/10/1,Greensboro,NC,205
2018/10/1,St. Louis,MO,201
2018/10/1,Memphis,TN,197
2018/10/1,Madison,WI,189
2018/10/1,Rochester,NY,184
2018/10/1,Oklahoma City,OK,183
2018/10/1,Buffalo,NY,141
2018/10/1,Indianapolis,IN,133
2018/10/1,Cincinnati,OH,112
2018/10/1,Asheville,NC,110
2018/10/1,Albany,NY,107
2018/10/1,Columbus,OH,105
2018/10/1,Salisbury,MD,93
2018/10/1,Greenville,SC,52
2018/10/1,Santa Maria,CA,52
2018/10/1,El Paso,TX,35
2018/10/1,Tulsa,OK,31
2018/10/1,Chico,CA,30
2018/10/1,Birmingham,AL,22
2018/10/1,Little Rock,AR,21
2018/10/1,Baton Rouge,LA,5
2018/10/1,Richmond,VA,-13
2018/10/1,Columbia,SC,-16
2018/10/1,Syracuse,NY,-22
2018/10/1,Knoxville,TN,-32
2018/10/1,Dayton,OH,-47
2018/10/1,Omaha,NE,-63
2018/10/1,Eugene,OR,-77
2018/10/1,Lakeland,FL,-84
2018/10/1,Spokane,WA,-155
2018/10/1,Detroit,MI,-163
2018/10/1,South Bend,IN,-201
2018/10/1,Rockford,IL,-324
2018/10/1,Houston,TX,-437
2018/10/1,Orlando,FL,-608
2018/10/1,Milwaukee,WI,-694
2018/10/1,Chicago,IL,-2535
2018/10/1,Denver,CO,-2577
2018/10/1,Washington,DC,-5527
2018/10/1,Los Angeles,CA,-14647
2018/10/1,New York,NY,-22002
2018/10/1,San Jose,CA,-29122
2019/1/1,Phoenix,AZ,7949
2019/1/1,Sacramento,CA,5987
2019/1/1,Atlanta,GA,5402
2019/1/1,Austin,TX,4447
2019/1/1,Miami,FL,4400
2019/1/1,Las Vegas,NV,3987
2019/1/1,Dallas,TX,3797
2019/1/1,Tampa,FL,3536
2019/1/1,San Diego,CA,2817
2019/1/1,Raleigh,NC,2482
2019/1/1,Charlotte,NC,2397
2019/1/1,Nashville,TN,2131
2019/1/1,Cape Coral,FL,2085
2019/1/1,Portland,OR,1991
2019/1/1,San Antonio,TX,1887
2019/1/1,North Port,FL,1557
2019/1/1,Philadelphia,PA,1408
2019/1/1,Jacksonville,FL,1337
2019/1/1,Bend,OR,1324
2019/1/1,Orlando,FL,1144
2019/1/1,Portland,ME,1087
2019/1/1,Boise City,ID,944
2019/1/1,Charleston,SC,895
2019/1/1,Reno,NV,895
2019/1/1,Tucson,AZ,836
2019/1/1,San Luis Obispo,CA,828
2019/1/1,Urban Honolulu,HI,801
2019/1/1,Colorado Springs,CO,761
2019/1/1,Albuquerque,NM,702
2019/1/1,Kahului,HI,684
2019/1/1,Bakersfield,CA,643
2019/1/1,Boston,MA,638
2019/1/1,New Orleans,LA,623
2019/1/1,Cleveland,OH,600
2019/1/1,Virginia Beach,VA,486
2019/1/1,Salt Lake City,UT,470
2019/1/1,Pittsburgh,PA,399
2019/1/1,Salisbury,MD,399
2019/1/1,Salinas,CA,377
2019/1/1,Bellingham,WA,374
2019/1/1,Grand Rapids,MI,342
2019/1/1,St. Louis,MO,298
2019/1/1,Greensboro,NC,292
2019/1/1,Harrisburg,PA,292
2019/1/1,Modesto,CA,283
2019/1/1,Fort Collins,CO,244
2019/1/1,Minneapolis,MN,244
2019/1/1,Memphis,TN,217
2019/1/1,Fresno,CA,211
2019/1/1,Kansas City,MO,203
2019/1/1,Greenville,SC,200
2019/1/1,Madison,WI,193
2019/1/1,Oklahoma City,OK,192
2019/1/1,Asheville,NC,186
2019/1/1,Rochester,NY,172
2019/1/1,Cincinnati,OH,134
2019/1/1,Kalamazoo,MI,122
2019/1/1,Lakeland,FL,121
